Time(s),Ventricular,Atrial
9.781260251998901,61983,16351
9.791290283203125,61472,61471
9.801512718200684,61471,16351
9.8117516040802,61920,61919
9.822256326675415,61919,16351
9.832471370697021,60320,60319
9.844404935836792,60319,16351
9.853714942932129,63520,63519
9.864397048950195,63519,16351
9.874777793884277,61216,61215
9.885281562805176,61215,16351
9.895745992660522,61920,61919
9.906660795211792,61919,16351
9.916751623153687,61408,61407
9.927242040634155,61407,16351
9.937794923782349,62176,62175
9.94862413406372,62175,16351
9.959293127059937,60128,60127
9.969650268554688,60127,16351
9.979472160339355,61856,61855
9.989963054656982,61855,16351
